year,flow
2015,1662282.4425843228
2016,1202755.036543001
2017,2031463.5071870014
2018,892358.1768264362
2019,1927894.1976432428
2020,847998.0940300871
2021,2113741.7918822966
2022,758562.4406499121
2023,1076353.3604467087
2024,700723.6655832528
2025,737038.3037198974
2026,1443880.9520996993
2027,2313216.170368439
2028,1883288.950059795
2029,904618.9794532743
2030,1853698.4252543321
2031,196521.0750304084
2032,1500959.097747356
2033,2136995.9777215812
2034,690431.1678066989
2035,737494.493987461
2036,364158.6138773425
2037,744017.0875320038
2038,508352.3420679684
2039,910911.9422881014
2040,1083011.5293048227
2041,1622642.4987352919
2042,1612419.2072907703
2043,615586.8145520336
2044,614815.2817602544
2045,1154176.0311397682
2046,2018020.3787404825
2047,1031438.2242167138
2048,442515.4058921426
2049,1411941.922059957
2050,1371508.2515889187
2051,1109138.9953541583
2052,1405482.3864824257
2053,1088857.4599224376
2054,314665.9478274952
2055,753945.1497633314
2056,745259.3270858056
2057,736428.6896166211
2058,1454191.6740809504
2059,741174.1404295029
2060,1283539.8653771076
2061,1909427.3687648457
2062,1378933.3773450279
2063,859273.5271144346
2064,1620547.7986340236
2065,1701351.127157581
2066,148027.08012707654
2067,328377.2881777324
2068,791258.6058968569
2069,2053587.8944511442
2070,1647214.9168857678
2071,1743767.564189829
2072,387087.13635991473
2073,1037984.6472072921
2074,1391956.3174238089
2075,1057715.8146995557
2076,1079270.0610938007
2077,1494234.0536133717
2078,820954.3702585079
2079,1409653.144515421
2080,1102822.3493274434
2081,789823.7302096197
2082,1391081.2592084927
2083,1834360.82357887
2084,1763184.9205970948
2085,585492.510068278
2086,1229600.7999656394
2087,766063.2771295313
2088,377043.0420999026
2089,1330870.3614002103
2090,264679.25158649584
2091,1305585.4112563834
2092,1342020.6108930872
2093,835663.1508347194
2094,1238905.8025800101
2095,201908.97274206823
2096,400832.579642433
2097,265892.7246057066
2098,1070846.089167695
2099,1372237.5918966238
2100,1655415.7127934063
