Water Year,SJVI (maf)
2006,3.5
2007,3.7958353857157867
2008,1.4229309524204945
2009,1.7617147322570261
2010,2.3175912626116912
2011,5.831840669067569
2012,2.6167217838439125
2013,0.7564221604386577
2014,2.6525970849774545
2015,1.0574823807048692
2016,4.163639908421452
2017,1.6761368751368706
2018,6.605657364522613
2019,3.3797580697233576
2020,2.1581313947110496
2021,1.826719059971897
2022,1.9622011093338199
2023,2.9075824878436576
2024,3.4016779643472836
2025,3.0992696315119623
2026,5.513346355554678
2027,4.328838100226841
2028,3.084116366757526
2029,2.901551500492902
2030,1.8290076914163738
2031,2.6104049596573065
2032,2.0653649342614013
2033,2.9903651744570308
2034,3.3317669973347352
2035,1.1070006269711132
2036,2.5180159341909296
2037,3.7627770432607863
2038,4.7571945153243105
2039,1.862858991066958
2040,2.7123489643091476
2041,2.173559545669935
2042,1.8282121673470157
2043,3.892403822978933
2044,2.3392526913463225
2045,2.5133089426891915
2046,7.406362103073854
2047,4.793034325620955
2048,1.1137675238996827
2049,3.9426024726004827
2050,2.0157377551901585
2051,2.2580485773975774
2052,3.339792020415645
2053,2.390305000978101
2054,2.718432387341133
2055,1.7355833167573602
2056,1.5112807150207748
2057,4.934389393271437
2058,7.773638654843451
2059,4.558524885679748
2060,2.9599156376335314
2061,1.7803572783379802
2062,3.4516176957202895
2063,3.16775248744183
2064,2.012386189252342
2065,1.7015273731832532
2066,5.1237039937355355
2067,1.7931704044881975
2068,1.1326422643007192
2069,0.6723152428987185
2070,4.026884933267846
2071,3.345989139233132
2072,2.5702289162136824
2073,2.8567157854851963
2074,2.9539372270964313
2075,3.296604222640976
2076,1.0563882930647037
2077,3.5260095044986985
2078,3.6952923545228646
2079,4.255582148668321
2080,2.5559725157771904
2081,3.010350076161405
2082,1.7786763946286674
2083,0.9383353781210653
2084,5.0076217990452045
2085,4.038813502071955
2086,2.3404763066623575
2087,3.042527876311475
2088,4.851273852959233
2089,1.2927857785597303
2090,0.4921607877770879
2091,2.6292336410398693
2092,4.13704821270314
2093,4.136443868203229
2094,3.558675727308828
2095,1.6469689289951956
2096,0.6526576536869015
2097,2.6153868224473915
2098,1.1604047674196396
2099,0.5373100927437853
